config,condition_family,condition_label,prefix_len,n_samples,n_tasks,n_videos,exact_match,exact_match_ci_low,exact_match_ci_high,task_success,task_success_ci_low,task_success_ci_high,ordered_ratio,ordered_ratio_ci_low,ordered_ratio_ci_high,step_precision,step_precision_ci_low,step_precision_ci_high,step_recall,step_recall_ci_low,step_recall_ci_high,step_f1,step_f1_ci_low,step_f1_ci_high,step_iou,step_iou_ci_low,step_iou_ci_high,step_accuracy,step_accuracy_ci_low,step_accuracy_ci_high,edit_similarity,edit_similarity_ci_low,edit_similarity_ci_high,pred_len,pred_len_ci_low,pred_len_ci_high,gold_len,gold_len_ci_low,gold_len_ci_high,length_delta,length_delta_ci_low,length_delta_ci_high,n_valid_candidates,n_valid_candidates_ci_low,n_valid_candidates_ci_high,n_unique_valid_candidates,n_unique_valid_candidates_ci_low,n_unique_valid_candidates_ci_high,selected_is_oracle,selected_is_oracle_ci_low,selected_is_oracle_ci_high,selected_is_greedy,selected_is_greedy_ci_low,selected_is_greedy_ci_high,gain_vs_greedy_exact_match,gain_vs_greedy_exact_match_ci_low,gain_vs_greedy_exact_match_ci_high,gain_vs_greedy_task_success,gain_vs_greedy_task_success_ci_low,gain_vs_greedy_task_success_ci_high,gain_vs_greedy_ordered_ratio,gain_vs_greedy_ordered_ratio_ci_low,gain_vs_greedy_ordered_ratio_ci_high,gain_vs_greedy_step_f1,gain_vs_greedy_step_f1_ci_low,gain_vs_greedy_step_f1_ci_high,gain_vs_greedy_step_accuracy,gain_vs_greedy_step_accuracy_ci_low,gain_vs_greedy_step_accuracy_ci_high,oracle_gap_exact_match,oracle_gap_exact_match_ci_low,oracle_gap_exact_match_ci_high,oracle_gap_task_success,oracle_gap_task_success_ci_low,oracle_gap_task_success_ci_high,oracle_gap_ordered_ratio,oracle_gap_ordered_ratio_ci_low,oracle_gap_ordered_ratio_ci_high,oracle_gap_step_f1,oracle_gap_step_f1_ci_low,oracle_gap_step_f1_ci_high,run_label,run_id
system1_critic_goal,goal_only,goal_only,0,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0222,0.0093,0.0,0.0278,0.0074,0.0,0.0222,0.0082,0.0,0.0247,0.0046,0.0,0.0139,0.0074,0.0,0.0222,0.0074,0.0,0.0222,6.4815,5.7407,7.2963,4.4444,3.963,4.9259,2.037,1.2954,2.7787,2.9259,2.8148,3.0,2.4074,2.0741,2.7037,0.4074,0.2222,0.5926,0.6296,0.4444,0.7787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0222,0.0032,0.0,0.0095,Perception-LM 1B (Latent Proj),plm_coin3_grounded_coin3_eval
system1_critic_goal,goal_plus_interpretation,goal_plus_interpretation,0,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0241,0.0,0.0519,0.0154,0.0,0.0324,0.0241,0.0,0.0556,0.0188,0.0,0.0433,0.0103,0.0,0.0226,0.0099,0.0,0.0259,0.0099,0.0,0.0259,7.1481,6.2593,8.037,4.4444,3.9991,4.9259,2.7037,1.8519,3.7037,2.9259,2.7778,3.0,2.4815,2.2222,2.7407,0.6296,0.4444,0.8148,0.7778,0.6296,0.9259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,-0.0031,0.0,-0.0004,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0031,Perception-LM 1B (Latent Proj),plm_coin3_grounded_coin3_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@1,1,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.0426,0.0167,0.0,0.0426,0.0167,0.0,0.0444,0.0167,0.0,0.0426,0.0094,0.0,0.0241,0.0093,0.0,0.0278,0.0093,0.0,0.0278,5.8148,4.9259,6.6676,3.4444,3.0,3.963,2.3704,1.4815,3.1852,3.0,3.0,3.0,2.6296,2.3704,2.8519,0.5185,0.3333,0.7037,0.6296,0.4444,0.8148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0,0.037,0.0074,0.0,0.0222,Perception-LM 1B (Latent Proj),plm_coin3_grounded_coin3_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@2,2,26,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0385,0.0043,0.0,0.0128,0.0128,0.0,0.0385,0.0064,0.0,0.0192,0.0035,0.0,0.0105,0.0,0.0,0.0,0.0043,0.0,0.0128,6.0,5.1154,6.9615,2.5385,2.0769,3.001,3.4615,2.6538,4.2308,3.0,3.0,3.0,2.6154,2.3462,2.8462,0.6154,0.4231,0.8077,0.5385,0.3462,0.7308,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0385,0.0064,0.0,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Perception-LM 1B (Latent Proj),plm_coin3_grounded_coin3_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@3,3,20,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.0071,0.0,0.0214,0.025,0.0,0.075,0.0111,0.0,0.0333,0.0063,0.0,0.0187,0.0,0.0,0.0,0.0071,0.0,0.0214,5.6,4.65,6.7,2.0,1.65,2.4,3.6,2.8,4.45,2.95,2.85,3.0,2.35,2.0,2.7,0.6,0.35,0.8,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Perception-LM 1B (Latent Proj),plm_coin3_grounded_coin3_eval
system1_greedy,goal_only,goal_only,0,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0222,0.0093,0.0,0.0278,0.0074,0.0,0.0222,0.0082,0.0,0.0247,0.0046,0.0,0.0139,0.0074,0.0,0.0222,0.0074,0.0,0.0222,6.6667,5.8148,7.5556,4.4444,4.0,4.8889,2.2222,1.4444,3.0,2.9259,2.8148,3.0,2.4074,2.0741,2.7037,0.5926,0.4074,0.7778,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0222,0.0032,0.0,0.0095,Perception-LM 1B (Latent Proj),plm_coin3_grounded_coin3_eval
system1_greedy,goal_plus_interpretation,goal_plus_interpretation,0,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0241,0.0,0.0537,0.017,0.0,0.0355,0.0241,0.0,0.0519,0.0198,0.0,0.0424,0.0109,0.0,0.0239,0.0103,0.0,0.0267,0.0103,0.0,0.0247,7.0,6.0361,8.0741,4.4444,4.0,4.9269,2.5556,1.4444,3.5926,2.9259,2.7778,3.0,2.4815,2.1852,2.7407,0.6296,0.4444,0.8148,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Perception-LM 1B (Latent Proj),plm_coin3_grounded_coin3_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@1,1,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.0426,0.0167,0.0,0.0426,0.0167,0.0,0.0408,0.0167,0.0,0.0408,0.0094,0.0,0.0241,0.0093,0.0,0.0278,0.0093,0.0,0.0278,6.6667,5.8889,7.4074,3.4444,3.0,3.8889,3.2222,2.4435,4.1111,3.0,3.0,3.0,2.6296,2.3694,2.8519,0.4444,0.2593,0.6296,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123,0.0,0.037,0.0074,0.0,0.0222,Perception-LM 1B (Latent Proj),plm_coin3_grounded_coin3_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@2,2,26,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2308,5.5769,6.9615,2.5385,2.1154,2.9615,3.6923,2.9615,4.3846,3.0,3.0,3.0,2.6154,2.3462,2.8462,0.5,0.3077,0.6923,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0385,0.0064,0.0,0.0192,Perception-LM 1B (Latent Proj),plm_coin3_grounded_coin3_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@3,3,20,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.0071,0.0,0.0214,0.025,0.0,0.075,0.0111,0.0,0.0333,0.0063,0.0,0.025,0.0,0.0,0.0,0.0071,0.0,0.0214,5.45,4.35,6.5,2.0,1.65,2.4,3.45,2.5,4.5,2.95,2.85,3.0,2.35,2.0,2.7,0.7,0.5,0.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Perception-LM 1B (Latent Proj),plm_coin3_grounded_coin3_eval
system1_greedy,goal_only,goal_only,0,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1852,5.1852,7.1481,4.4444,4.0,4.963,1.7407,0.7407,2.7778,2.963,2.8889,3.0,2.2593,1.9259,2.5926,0.6667,0.4815,0.8519,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148,0.0,0.0444,0.0114,0.0,0.0342,Perception-LM 1B (Plain),plm_coin3_plain_coin3_eval
system1_greedy,goal_plus_interpretation,goal_plus_interpretation,0,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0222,0.0093,0.0,0.0278,0.0074,0.0,0.0222,0.0082,0.0,0.0247,0.0046,0.0,0.0139,0.0,0.0,0.0,0.0074,0.0,0.0222,6.1852,5.3704,7.075,4.4444,3.9991,4.9259,1.7407,0.7407,2.7407,3.0,3.0,3.0,2.4074,2.0741,2.7037,0.6667,0.4815,0.8519,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062,0.0,0.0185,0.0049,0.0,0.0148,Perception-LM 1B (Plain),plm_coin3_plain_coin3_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@1,1,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.0741,0.0216,0.0,0.0556,0.0278,0.0,0.0741,0.0241,0.0,0.063,0.0146,0.0,0.0384,0.0216,0.0,0.0556,0.0216,0.0,0.0556,6.1111,5.2583,6.9269,3.4444,3.0,3.9259,2.6667,1.9259,3.4815,2.963,2.8889,3.0,2.4815,2.2222,2.7407,0.5926,0.4074,0.7778,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Perception-LM 1B (Plain),plm_coin3_plain_coin3_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@2,2,26,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0224,0.0,0.0545,0.0125,0.0,0.0346,0.0224,0.0,0.0577,0.0155,0.0,0.0381,0.0087,0.0,0.0221,0.0,0.0,0.0,0.0048,0.0,0.0144,4.9615,4.1144,5.8471,2.5385,2.1154,3.0,2.4231,1.6538,3.2308,3.0,3.0,3.0,2.5385,2.2692,2.7692,0.5385,0.3462,0.7317,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Perception-LM 1B (Plain),plm_coin3_plain_coin3_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@3,3,20,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.05,0.0167,0.0,0.05,0.0167,0.0,0.05,0.0167,0.0,0.05,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.8988,5.25,2.0,1.65,2.45,2.1,1.0988,3.3,3.0,3.0,3.0,2.3,1.95,2.65,0.75,0.55,0.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.025,0.0,0.075,Perception-LM 1B (Plain),plm_coin3_plain_coin3_eval
