config,condition_family,condition_label,prefix_len,n_samples,n_tasks,n_videos,exact_match,exact_match_ci_low,exact_match_ci_high,task_success,task_success_ci_low,task_success_ci_high,ordered_ratio,ordered_ratio_ci_low,ordered_ratio_ci_high,step_precision,step_precision_ci_low,step_precision_ci_high,step_recall,step_recall_ci_low,step_recall_ci_high,step_f1,step_f1_ci_low,step_f1_ci_high,step_iou,step_iou_ci_low,step_iou_ci_high,step_accuracy,step_accuracy_ci_low,step_accuracy_ci_high,edit_similarity,edit_similarity_ci_low,edit_similarity_ci_high,pred_len,pred_len_ci_low,pred_len_ci_high,gold_len,gold_len_ci_low,gold_len_ci_high,length_delta,length_delta_ci_low,length_delta_ci_high,n_valid_candidates,n_valid_candidates_ci_low,n_valid_candidates_ci_high,n_unique_valid_candidates,n_unique_valid_candidates_ci_low,n_unique_valid_candidates_ci_high,selected_is_oracle,selected_is_oracle_ci_low,selected_is_oracle_ci_high,selected_is_greedy,selected_is_greedy_ci_low,selected_is_greedy_ci_high,gain_vs_greedy_exact_match,gain_vs_greedy_exact_match_ci_low,gain_vs_greedy_exact_match_ci_high,gain_vs_greedy_task_success,gain_vs_greedy_task_success_ci_low,gain_vs_greedy_task_success_ci_high,gain_vs_greedy_ordered_ratio,gain_vs_greedy_ordered_ratio_ci_low,gain_vs_greedy_ordered_ratio_ci_high,gain_vs_greedy_step_f1,gain_vs_greedy_step_f1_ci_low,gain_vs_greedy_step_f1_ci_high,gain_vs_greedy_step_accuracy,gain_vs_greedy_step_accuracy_ci_low,gain_vs_greedy_step_accuracy_ci_high,oracle_gap_exact_match,oracle_gap_exact_match_ci_low,oracle_gap_exact_match_ci_high,oracle_gap_task_success,oracle_gap_task_success_ci_low,oracle_gap_task_success_ci_high,oracle_gap_ordered_ratio,oracle_gap_ordered_ratio_ci_low,oracle_gap_ordered_ratio_ci_high,oracle_gap_step_f1,oracle_gap_step_f1_ci_low,oracle_gap_step_f1_ci_high,run_label,run_id
system1_critic_goal,goal_only,goal_only,0,27,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0148,0.0,0.0444,0.0093,0.0,0.0278,0.0148,0.0,0.0444,0.0114,0.0,0.0342,0.0067,0.0,0.0202,0.0,0.0,0.0,0.0093,0.0,0.0278,5.7407,4.963,6.5185,4.4444,4.0361,4.8889,1.2963,0.5185,2.2222,3.0,3.0,3.0,2.4444,2.1852,2.7037,0.5185,0.3324,0.7037,0.5926,0.4074,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plm_coin2_grounded,plm_coin2_grounded_coin2_eval
system1_critic_goal,goal_plus_interpretation,goal_plus_interpretation,0,27,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0377,0.0062,0.0784,0.0272,0.0053,0.0558,0.0377,0.0074,0.079,0.0315,0.0057,0.0625,0.0178,0.0031,0.038,0.0127,0.0,0.0328,0.022,0.0,0.0495,6.0741,5.1481,7.1111,4.4444,3.9991,4.9259,1.6296,0.7037,2.5926,3.0,3.0,3.0,2.7037,2.4806,2.8889,0.5556,0.3704,0.7407,0.4444,0.2593,0.6296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0014,0.0012,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0222,0.0062,0.0,0.0185,plm_coin2_grounded,plm_coin2_grounded_coin2_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@1,1,27,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.0278,0.0093,0.0,0.0278,0.0093,0.0,0.0278,0.0093,0.0,0.0278,0.0053,0.0,0.0159,0.0093,0.0,0.0278,0.0093,0.0,0.0278,4.4815,3.9259,5.1481,3.4444,3.0,3.8889,1.037,0.2963,1.7407,3.0,3.0,3.0,2.5926,2.3333,2.8148,0.6296,0.4444,0.8148,0.5926,0.4074,0.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.0426,0.0167,0.0,0.0426,plm_coin2_grounded,plm_coin2_grounded_coin2_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@2,2,26,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0385,0.0128,0.0,0.0385,0.0128,0.0,0.0385,0.0128,0.0,0.0385,0.0077,0.0,0.0231,0.0128,0.0,0.0385,0.0128,0.0,0.0385,4.6154,3.6538,5.5779,2.5385,2.0769,2.9615,2.0769,1.0385,3.0769,3.0,3.0,3.0,2.5769,2.2692,2.8462,0.4231,0.2308,0.6154,0.3846,0.1923,0.5769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0077,plm_coin2_grounded,plm_coin2_grounded_coin2_eval
system1_critic_goal,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@3,3,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.025,0.0,0.075,0.025,0.0,0.075,0.025,0.0,0.1,0.0167,0.0,0.05,0.025,0.0,0.075,0.025,0.0,0.075,3.25,2.7,3.95,2.0,1.6,2.4,1.25,0.55,2.0,3.0,3.0,3.0,2.2,1.85,2.55,0.6,0.35,0.8,0.5,0.2988,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plm_coin2_grounded,plm_coin2_grounded_coin2_eval
system1_greedy,goal_only,goal_only,0,27,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0148,0.0,0.0444,0.0093,0.0,0.0278,0.0148,0.0,0.0444,0.0114,0.0,0.0342,0.0067,0.0,0.0202,0.0,0.0,0.0,0.0093,0.0,0.0278,5.7407,5.037,6.5556,4.4444,4.0,4.8889,1.2963,0.5556,2.037,3.0,3.0,3.0,2.4444,2.1481,2.7407,0.8519,0.7037,0.963,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plm_coin2_grounded,plm_coin2_grounded_coin2_eval
system1_greedy,goal_plus_interpretation,goal_plus_interpretation,0,27,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0377,0.0062,0.0797,0.0266,0.0046,0.055,0.0377,0.0062,0.0759,0.031,0.0057,0.0627,0.0175,0.0031,0.0351,0.0115,0.0,0.0305,0.0208,0.0,0.0467,5.7778,5.037,6.5926,4.4444,3.963,4.8889,1.3333,0.4806,2.2222,3.0,3.0,3.0,2.7037,2.4444,2.9259,0.5185,0.3333,0.7037,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0222,0.0066,0.0,0.0195,plm_coin2_grounded,plm_coin2_grounded_coin2_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@1,1,27,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.0278,0.0093,0.0,0.0278,0.0093,0.0,0.0278,0.0093,0.0,0.0278,0.0053,0.0,0.0159,0.0093,0.0,0.0278,0.0093,0.0,0.0278,5.2963,4.5556,6.1111,3.4444,3.0,3.9259,1.8519,1.0,2.8148,3.0,3.0,3.0,2.5926,2.3333,2.8148,0.5556,0.3704,0.7407,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0,0.0444,0.0167,0.0,0.0407,plm_coin2_grounded,plm_coin2_grounded_coin2_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@2,2,26,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0385,0.0128,0.0,0.0385,0.0128,0.0,0.0385,0.0128,0.0,0.0385,0.0077,0.0,0.0231,0.0128,0.0,0.0385,0.0128,0.0,0.0385,4.8462,4.0,5.8462,2.5385,2.1154,3.0,2.3077,1.3067,3.3846,3.0,3.0,3.0,2.5769,2.3077,2.8462,0.5385,0.3462,0.7308,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0077,plm_coin2_grounded,plm_coin2_grounded_coin2_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@3,3,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.025,0.0,0.075,0.025,0.0,0.075,0.025,0.0,0.075,0.0167,0.0,0.05,0.025,0.0,0.075,0.025,0.0,0.075,3.5,2.85,4.2,2.0,1.65,2.4,1.5,0.75,2.35,3.0,3.0,3.0,2.2,1.85,2.55,0.85,0.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plm_coin2_grounded,plm_coin2_grounded_coin2_eval
system1_greedy,goal_only,goal_only,0,27,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0222,0.0093,0.0,0.0278,0.0074,0.0,0.0222,0.0082,0.0,0.0247,0.0046,0.0,0.0139,0.0,0.0,0.0,0.0074,0.0,0.0222,7.037,5.962,8.0741,4.4444,4.0,4.8889,2.5926,1.3694,3.8148,2.9259,2.8148,3.0,2.6296,2.3704,2.8519,0.4815,0.2963,0.6667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plm_coin2_plain,plm_coin2_plain_coin2_eval
system1_greedy,goal_plus_interpretation,goal_plus_interpretation,0,27,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0148,0.0,0.037,0.0134,0.0,0.036,0.0148,0.0,0.037,0.0135,0.0,0.0353,0.0075,0.0,0.0196,0.0041,0.0,0.0123,0.0115,0.0,0.0305,7.037,5.7407,8.2593,4.4444,4.0,4.8889,2.5926,1.1472,4.0,2.8889,2.7407,3.0,2.6667,2.4074,2.8528,0.3704,0.1852,0.5556,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plm_coin2_plain,plm_coin2_plain_coin2_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@1,1,27,27,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.0278,0.0093,0.0,0.0278,0.0093,0.0,0.0278,0.0093,0.0,0.0278,0.0053,0.0,0.0159,0.0093,0.0,0.0278,0.0093,0.0,0.0278,6.6296,5.7037,7.5185,3.4444,3.0,4.0,3.1852,2.1481,4.2593,3.0,3.0,3.0,2.7037,2.4815,2.8889,0.5556,0.3704,0.7407,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plm_coin2_plain,plm_coin2_plain_coin2_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@2,2,26,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.0385,0.0077,0.0,0.0231,0.0128,0.0,0.0385,0.0096,0.0,0.0288,0.0055,0.0,0.0165,0.0,0.0,0.0,0.0077,0.0,0.0231,5.3462,4.3077,6.4615,2.5385,2.1154,2.9615,2.8077,1.5,4.0385,2.9615,2.8846,3.0,2.8462,2.6923,2.9615,0.5385,0.3462,0.7308,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0096,plm_coin2_plain,plm_coin2_plain_coin2_eval
system1_greedy,goal_plus_interpretation_prefix,goal_plus_interpretation_prefix@3,3,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.075,0.0125,0.0,0.0375,0.025,0.0,0.075,0.0167,0.0,0.05,0.01,0.0,0.03,0.0,0.0,0.0,0.0125,0.0,0.0375,4.9,3.9,6.1,2.0,1.6,2.35,2.9,1.7,4.2,3.0,3.0,3.0,2.7,2.4,2.95,0.7,0.5,0.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plm_coin2_plain,plm_coin2_plain_coin2_eval
